"partCode","gender","age","handedness","group","cs_permut","cue_permut","contAware","unpleas_csplus_av_1","unpleas_csplus_av_2","unpleas_csplus_av_3","unpleas_csplus_av_4","unpleas_csplus_neu_1","unpleas_csplus_neu_2","unpleas_csplus_neu_3","unpleas_csplus_neu_4","unpleas_csminus_1","unpleas_csminus_2","unpleas_csminus_3","unpleas_csminus_4","arous_csplus_av_1","arous_csplus_av_2","arous_csplus_av_3","arous_csplus_av_4","arous_csplus_neu_1","arous_csplus_neu_2","arous_csplus_neu_3","arous_csplus_neu_4","arous_csminus_1","arous_csminus_2","arous_csminus_3","arous_csminus_4","anx_csplus_av_1","anx_csplus_av_2","anx_csplus_av_3","anx_csplus_av_4","anx_csplus_neu_1","anx_csplus_neu_2","anx_csplus_neu_3","anx_csplus_neu_4","anx_csminus_1","anx_csminus_2","anx_csminus_3","anx_csminus_4","ang_csplus_av_1","ang_csplus_av_2","ang_csplus_av_3","ang_csplus_av_4","ang_csplus_neu_1","ang_csplus_neu_2","ang_csplus_neu_3","ang_csplus_neu_4","ang_csminus_1","ang_csminus_2","ang_csminus_3","ang_csminus_4","dis_csplus_av_1","dis_csplus_av_2","dis_csplus_av_3","dis_csplus_av_4","dis_csplus_neu_1","dis_csplus_neu_2","dis_csplus_neu_3","dis_csplus_neu_4","dis_csminus_1","dis_csminus_2","dis_csminus_3","dis_csminus_4","unpleas_cue_av_1","unpleas_cue_av_2","unpleas_cue_av_3","unpleas_cue_neu_1","unpleas_cue_neu_2","unpleas_cue_neu_3","unpleas_cue_minus_1","unpleas_cue_minus_2","unpleas_cue_minus_3","add_learn_trials","unpleas_us_av_1","unpleas_us_av_2","unpleas_us_av_3","unpleas_us_neu_1","unpleas_us_neu_2","unpleas_us_neu_3","cont_usav_csplusav","cont_usav_csplusneu","cont_usav_csminus","cont_usneu_csplusav","cont_usneu_csplusneu","cont_usneu_csminus","cont_cueav_csplusav","cont_cueav_csplusneu","cont_cueav_csminus","cont_cueneu_csplusav","cont_cueneu_csplusneu","cont_cueneu_csminus","cont_cuenothing_csplusav","cont_cuenothing_csplusneu","cont_cuenothing_csminus"
"HM08LE07","female",24,"right","real",1,NA,TRUE,4,3,3,3,3,3,2,2,3,3,3,3,1,1,3,3,1,2,3,3,2,3,3,3,2,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,8,7,0,0,0,2,0,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IG08AR03","male",25,"right","real",1,NA,TRUE,5,5,2,4,4,3,3,2,4,2,1,1,2,2,3,4,1,1,2,3,1,3,1,1,3,2,2,3,1,1,1,1,1,1,1,1,4,4,3,4,3,3,1,2,2,1,1,1,5,5,4,4,4,4,3,2,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,6,0,0,0,2,0,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL06IN05","male",27,"right","real",1,NA,TRUE,4,4,3,3,3,3,3,3,2,2,2,3,4,4,4,5,1,1,2,4,3,2,1,2,4,3,3,4,1,1,1,3,1,1,1,1,3,1,2,4,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,10,10,0,1,2,2,0,0,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL09ER08","female",22,"right","real",2,NA,TRUE,3,3,4,5,2,2,2,1,3,2,2,1,1,1,5,4,1,1,3,3,1,1,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,10,10,0,0,0,2,0,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IN05IM17","female",18,"right","ima",3,1,TRUE,3,3,5,5,4,4,3,3,3,2,3,3,2,3,4,4,3,3,4,3,1,2,2,2,2,3,4,5,3,3,3,2,2,2,1,3,1,2,3,4,1,2,2,3,1,2,2,2,2,3,3,4,2,2,2,3,2,2,2,1,8,8,9,1,0,3,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,0,0,0,70,0,0,0,80
"IN09LF17","female",21,"right","real",2,NA,TRUE,3,3,3,4,3,2,2,2,4,4,4,3,2,1,4,4,1,1,2,1,3,2,1,2,1,1,2,2,1,1,1,1,2,2,1,1,1,1,1,4,1,1,1,1,2,2,1,1,2,2,2,1,2,2,2,1,3,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,10,1,0,0,2,0,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IX07AS13","female",21,"right","real",2,NA,TRUE,4,5,5,5,2,2,2,2,3,4,4,4,2,2,3,3,2,1,1,1,2,1,1,1,3,4,5,5,1,1,1,1,4,4,2,2,1,3,5,5,1,1,1,1,3,5,2,2,2,1,5,5,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,10,10,1,0,0,2,0,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JA05RL22","male",19,"right","ima",2,3,TRUE,3,3,4,3,4,4,3,3,4,4,3,3,2,1,1,1,2,1,1,1,1,1,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,2,2,2,0,99,99,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,10,5,10,80,5,0,10,90
"KE05RD15","female",21,"right","real",2,NA,FALSE,3,3,4,4,4,1,3,3,4,4,4,4,2,2,3,3,3,4,3,3,4,4,3,4,1,2,2,2,1,1,2,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,10,1,2,1,1,1,3,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KE06ER07","male",24,"left","real",3,NA,TRUE,2,2,4,4,3,4,3,2,4,3,3,2,2,3,3,4,3,3,2,3,3,2,1,1,1,1,2,3,2,2,2,1,1,1,1,1,1,1,4,4,1,1,1,1,1,1,1,1,1,1,3,4,1,2,1,1,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,9,0,0,0,2,0,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LD08LF01","female",19,"right","real",3,NA,TRUE,3,2,3,4,4,5,3,2,3,4,2,2,1,3,5,3,3,4,3,2,2,3,2,2,1,1,2,2,3,3,1,1,2,2,1,1,1,1,3,2,2,2,1,1,1,1,1,1,2,1,1,2,4,4,3,2,1,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,9,0,0,0,2,0,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LE06KO07","female",21,"left","ima",1,3,TRUE,4,5,1,5,2,3,3,3,3,4,4,3,1,1,2,1,2,2,2,2,1,2,2,2,2,3,4,4,1,2,2,3,4,3,3,2,2,3,2,3,1,1,1,1,2,2,2,2,3,5,4,5,2,2,3,3,4,4,3,3,3,5,5,1,2,4,0,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,0,0,10,100,10,0,0,90
"LL06ER17","female",20,"right","ima",3,2,TRUE,1,1,4,3,3,3,4,4,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,3,2,1,1,1,1,1,1,2,2,2,3,4,3,1,2,1,1,1,1,3,2,1,1,2,1,1,1,1,1,99,2,1,0,1,99,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0,0,0,100,0,0,0,100
"LT07EL10","male",21,"right","ima",1,3,TRUE,3,2,3,2,3,3,1,2,2,2,2,2,3,2,4,1,3,2,3,1,3,2,1,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,1,1,1,1,1,1,1,1,3,3,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0,0,0,100,0,0,0,100
"LZ05AN21","female",20,"right","real",2,NA,TRUE,3,4,4,5,4,3,2,2,4,4,3,2,2,3,5,5,2,3,3,2,4,4,2,1,2,2,4,4,2,2,1,1,1,2,2,1,1,3,3,4,4,2,2,1,3,3,3,3,3,4,3,4,2,3,2,2,5,5,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,8,7,0,0,0,2,0,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MY05EN23","female",20,"right","real",3,NA,TRUE,4,3,4,4,3,4,2,2,3,3,2,2,2,2,3,4,2,2,2,3,1,2,1,1,2,1,2,2,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,8,9,0,0,0,2,0,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NE08IM07","female",24,"right","ima",3,2,TRUE,3,3,4,4,3,3,3,3,4,5,2,1,2,1,2,2,1,3,2,4,3,1,1,2,1,1,4,1,2,4,3,4,5,5,2,1,1,1,2,5,1,1,1,4,1,1,1,1,1,3,3,5,1,4,2,4,5,5,1,1,3,3,6,0,7,1,99,1,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,60,20,10,90,50,0,10,90
